instrument_id,instrument_number,timestamp,open,high,low,close,volume
738561,Something random,2026-01-01T11:15:00+05:30,1577.2,1578.5,1575.5,1578.1,122080
738561,Something random,2026-01-01T12:15:00+05:30,1577.7,1578.5,1574.3,1577.5,187957
4331777,20MICRONS,2026-01-01T09:15:00+05:30,1573.7,1592.5,1572.3,1582.2,1473612
4331777,20MICRONS,2026-01-01T10:15:00+05:30,1582.4,1583.4,1578.5,1580.4,486282
4331777,20MICRONS,2026-01-01T11:15:00+05:30,1580.4,1581.3,1575.5,1578.1,373955
4331777,20MICRONS,2026-01-01T12:15:00+05:30,1577.7,1580.8,1574.3,1575.2,915500
4331777,20MICRONS,2026-01-01T13:15:00+05:30,1574.8,1581.4,1573,1579.2,1029761
4331777,20MICRONS,2026-01-01T14:15:00+05:30,1579.1,1580.1,1574.2,1575,1399402
4331777,20MICRONS,2026-01-01T15:15:00+05:30,1574.4,1574.4,1571.1,1572.7,651075
4331777,20MICRONS,2026-01-02T09:15:00+05:30,1580,1589.9,1578.2,1588.9,837086
4331777,20MICRONS,2026-01-02T10:15:00+05:30,1588.9,1589.9,1583.7,1584,850484
4331777,20MICRONS,2026-01-02T11:15:00+05:30,1584,1588.5,1582.6,1586.9,763352
4331777,20MICRONS,2026-01-02T12:15:00+05:30,1587,1590,1586.7,1589.5,776909
4331777,20MICRONS,2026-01-02T13:15:00+05:30,1589.5,1592.9,1589.2,1591.2,1014655
4331777,20MICRONS,2026-01-02T14:15:00+05:30,1591.2,1594.6,1588.4,1592.9,1586054
4331777,20MICRONS,2026-01-02T15:15:00+05:30,1592.9,1593,1591.3,1593,697456
4331777,20MICRONS,2026-01-05T09:15:00+05:30,1593,1611.8,1592.3,1598.9,1963688
4331777,20MICRONS,2026-01-05T10:15:00+05:30,1598.9,1599.7,1594.7,1597,733343
4331777,20MICRONS,2026-01-05T11:15:00+05:30,1597,1597,1590,1592,797578
4331777,20MICRONS,2026-01-05T12:15:00+05:30,1592.1,1592.5,1587.7,1589.3,759059
4331777,20MICRONS,2026-01-05T13:15:00+05:30,1589.2,1589.7,1579.1,1579.7,1084762
4331777,20MICRONS,2026-01-05T14:15:00+05:30,1579.7,1582.5,1576.4,1577.5,1945160
4331777,20MICRONS,2026-01-05T15:15:00+05:30,1577.5,1578.4,1575.3,1577.2,1037632
4331777,20MICRONS,2026-01-06T09:15:00+05:30,1569,1569,1517.8,1526.2,9391147
4331777,20MICRONS,2026-01-06T10:15:00+05:30,1526.3,1528.2,1510.3,1510.3,2720615
4331777,20MICRONS,2026-01-06T11:15:00+05:30,1511.2,1514.3,1496.3,1509.3,5682706
4331777,20MICRONS,2026-01-06T12:15:00+05:30,1509.3,1510,1502.2,1506,2030328
4331777,20MICRONS,2026-01-06T13:15:00+05:30,1506,1507.9,1499.4,1501.3,2798976
4331777,20MICRONS,2026-01-06T14:15:00+05:30,1501.4,1511,1501.2,1506.6,3018865
4331777,20MICRONS,2026-01-06T15:15:00+05:30,1506.6,1510,1505.5,1508.7,1373509
4331777,20MICRONS,2026-01-07T09:15:00+05:30,1510,1520,1504.4,1512.4,2566289
4331777,20MICRONS,2026-01-07T10:15:00+05:30,1512.1,1513.6,1502.2,1506.2,1399434
4331777,20MICRONS,2026-01-07T11:15:00+05:30,1506.1,1511.2,1505.1,1505.6,972753
4331777,20MICRONS,2026-01-07T12:15:00+05:30,1505.5,1506,1502.3,1504.6,1142343
4331777,20MICRONS,2026-01-07T13:15:00+05:30,1504.7,1506,1500.8,1502.8,1163401
4331777,20MICRONS,2026-01-07T14:15:00+05:30,1502.8,1506.4,1498,1504.6,2690985
4331777,20MICRONS,2026-01-07T15:15:00+05:30,1504.6,1505.5,1502.7,1505.2,1155719
4331777,20MICRONS,2026-01-08T09:15:00+05:30,1500,1503.9,1488.6,1493.2,2253624
4331777,20MICRONS,2026-01-08T10:15:00+05:30,1493.2,1493.3,1482,1485.5,2174252
